name,blurb,image-src
Alayah,"Miss Texas 2019, 24, from San Antonio, Texas",https://www.usmagazine.com/wp-content/uploads/2019/12/Alayah-The-Bachelor-Gallery-Season-24.jpg?w=800
Alexa,"Esthetician, 27, from Chicago",https://www.usmagazine.com/wp-content/uploads/2019/12/Alexa-The-Bachelor-Gallery-Season-24.jpg?w=800
Avonlea,"Cattle rancher and model, 27, from Fort Worth, Texas",https://www.usmagazine.com/wp-content/uploads/2019/12/Avonlea-The-Bachelor-Gallery-Season-24.jpg?w=800
Courtney,"Cosmetologist, 26, from Venice, Florida",https://www.usmagazine.com/wp-content/uploads/2019/12/Courtney-The-Bachelor-Gallery-Season-24.jpg?w=800
Deandra,"Home care coordinator, 23, from Plano, Texas",https://www.usmagazine.com/wp-content/uploads/2019/12/Deandra-The-Bachelor-Gallery-Season-24.jpg?w=800
Eunice,"Flight attendant, 23, from Chicago",https://www.usmagazine.com/wp-content/uploads/2019/12/Eunice-The-Bachelor-Gallery-Season-24.jpg?w=800
Hannah Ann,"Model, 23, from Knoxville, Tennessee",https://www.usmagazine.com/wp-content/uploads/2019/12/Hannah-Ann-The-Bachelor-Gallery-Season-24.jpg?w=800
Jade,"Flight attendant, 26, from Mesa, Arizona",https://www.usmagazine.com/wp-content/uploads/2019/12/Jade-The-Bachelor-Gallery-Season-24.jpg?w=800
Jasmine,"Client relations manager, 25, from Houston, Texas",https://www.usmagazine.com/wp-content/uploads/2019/12/Jasmine-The-Bachelor-Gallery-Season-24.jpg?w=800
Jenna,"Nursing student, 22, from New Lenox, Illinois",https://www.usmagazine.com/wp-content/uploads/2019/12/Jenna-The-Bachelor-Gallery-Season-24.jpg?w=800
Katrina,"Pro sports dancer, 28, from Chicago, Illinois",https://www.usmagazine.com/wp-content/uploads/2019/12/Katrina-The-Bachelor-Gallery-Season-24.jpg?w=800
Kelley,"Attorney, 27, from Chicago",https://www.usmagazine.com/wp-content/uploads/2019/12/Kelley-The-Bachelor-Gallery-Season-24.jpg?w=800
Kelsey,"Professional clothier, 28, from Des Moines, Iowa",https://www.usmagazine.com/wp-content/uploads/2019/12/Kelsey-The-Bachelor-Gallery-Season-24.jpg?w=800
Kiarra,"Nanny, 23, from Kennesaw, Georgia",https://www.usmagazine.com/wp-content/uploads/2019/12/Kiarra-The-Bachelor-Gallery-Season-24.jpg?w=800
Kylie,"Entertainment sales associate, 26, from Santa Monica, California",https://www.usmagazine.com/wp-content/uploads/2019/12/Kylie-The-Bachelor-Gallery-Season-24.jpg?w=800
Lauren,"Marketing executive, 26, from Glendale, California",https://www.usmagazine.com/wp-content/uploads/2019/12/Lauren-The-Bachelor-Gallery-Season-24.jpg?w=800
Lexi,"Marketing coordinator, 26, from New York",https://www.usmagazine.com/wp-content/uploads/2019/12/Lexi-The-Bachelor-Gallery-Season-24.jpg?w=800
Madison,"Foster parent recruiter, 23, from Auburn, Alabama",https://www.usmagazine.com/wp-content/uploads/2019/12/Madison-The-Bachelor-Gallery-Season-24.jpg?w=800
Maurissa,"Patient care coordinator, 23, from Atlanta",https://www.usmagazine.com/wp-content/uploads/2019/12/Maurissa-The-Bachelor-Gallery-Season-24.jpg?w=800
Megan,"Flight attendant, 26, from San Francisco",https://www.usmagazine.com/wp-content/uploads/2019/12/Megan-The-Bachelor-Gallery-Season-24.jpg?w=800
Mykenna,"Fashion blogger, 22, from Langley, BC, Canada",https://www.usmagazine.com/wp-content/uploads/2019/12/Mykenna-The-Bachelor-Gallery-Season-24.jpg?w=800
Natasha,"Event planner, 31, from New York",https://www.usmagazine.com/wp-content/uploads/2019/12/Natasha-The-Bachelor-Gallery-Season-24.jpg?w=800
Payton,"Business development rep, 23, from Wellesley, Massachusetts",https://www.usmagazine.com/wp-content/uploads/2019/12/Payton-The-Bachelor-Gallery-Season-24.jpg?w=800
Sarah,"Medical radiographer, 24, from Knoxville, Tennessee",https://www.usmagazine.com/wp-content/uploads/2019/12/Sarah-The-Bachelor-Gallery-Season-24.jpg?w=800
Savannah,"Realtor, 27, from Houston, Texas",https://www.usmagazine.com/wp-content/uploads/2019/12/Savannah-The-Bachelor-Gallery-Season-24.jpg?w=800
Shiann,"Administrative assistant, 27, from Las Vegas",https://www.usmagazine.com/wp-content/uploads/2019/12/Shiann-The-Bachelor-Gallery-Season-24.jpg?w=800
Sydney,"Retail marketing manager, 24, from Birmingham, Alabama",https://www.usmagazine.com/wp-content/uploads/2019/12/Sydney-The-Bachelor-Gallery-Season-24.jpg?w=800
Tammy,"House flipper, 24, from Syracuse, New York",https://www.usmagazine.com/wp-content/uploads/2019/12/Tammy-The-Bachelor-Gallery-Season-24.jpg?w=800
Victoria F.,"Medical sales rep, 25, from Virginia Beach",https://www.usmagazine.com/wp-content/uploads/2019/12/Victoria-F-The-Bachelor-Gallery-Season-24.jpg?w=800
Victoria P.,"Nurse, 27, from Alexandria, Louisiana",https://www.usmagazine.com/wp-content/uploads/2019/12/Victoria-P-The-Bachelor-Gallery-Season-24.jpg?w=800
